iter	Passed	Remaining
554	20026	16057
555	20064	16022
556	20131	16011
557	20203	16003
558	20256	15980
559	20291	15943
560	20328	15907
561	20393	15894
562	20455	15877
563	20522	15864
564	20569	15836
565	20609	15802
566	20641	15763
567	20676	15725
568	20722	15696
569	20769	15668
570	20819	15641
571	20852	15603
572	20896	15572
573	20939	15540
574	20989	15513
575	21058	15501
576	21101	15469
577	21152	15443
578	21189	15407
579	21221	15367
580	21253	15327
581	21297	15295
582	21345	15267
583	21401	15245
584	21461	15224
585	21506	15193
586	21558	15168
587	21593	15130
588	21622	15088
589	21652	15046
590	21684	15006
591	21715	14965
592	21747	14926
593	21782	14888
594	21828	14858
595	21908	14850
596	21958	14822
597	21997	14787
598	22029	14747
599	22058	14705
600	22091	14666
601	22121	14625
602	22149	14582
603	22178	14540
604	22207	14498
605	22234	14456
606	22266	14416
607	22296	14375
608	22331	14337
609	22399	14320
610	22470	14306
611	22531	14284
612	22563	14244
613	22593	14203
614	22625	14164
615	22657	14123
616	22688	14084
617	22718	14043
618	22747	14001
619	22777	13960
620	22809	13920
621	22848	13885
622	22894	13854
623	22937	13821
624	22977	13786
625	23012	13748
626	23043	13708
627	23078	13670
628	23109	13630
629	23140	13590
630	23174	13552
631	23203	13510
632	23234	13470
633	23262	13429
634	23292	13388
635	23324	13349
636	23355	13309
637	23385	13269
638	23444	13244
639	23495	13215
640	23542	13185
641	23587	13153
642	23622	13115
643	23657	13077
644	23701	13044
645	23735	13006
646	23766	12967
647	23799	12928
648	23832	12889
649	23865	12850
650	23893	12809
651	23926	12770
652	23959	12731
653	23990	12692
654	24020	12652
655	24057	12615
656	24102	12583
657	24147	12550
658	24190	12517
659	24239	12486
660	24272	12448
661	24303	12408
662	24337	12370
663	24367	12330
664	24396	12289
665	24429	12251
666	24463	12213
667	24495	12174
668	24527	12135
669	24556	12095
670	24585	12054
671	24614	12014
672	24645	11974
673	24676	11935
674	24709	11897
675	24745	11860
676	24785	11825
677	24832	11793
678	24862	11753
679	24894	11715
680	24927	11676
681	24961	11638
682	24996	11601
683	25030	11563
684	25062	11524
685	25095	11486
686	25126	11447
687	25159	11409
688	25188	11369
689	25220	11330
690	25252	11292
691	25282	11252
692	25316	11215
693	25346	11175
694	25378	11137
695	25410	11098
696	25443	11060
697	25473	11021
698	25505	10982
699	25538	10944
700	25565	10904
701	25597	10866
702	25629	10827
703	25662	10789
704	25694	10751
705	25727	10713
706	25758	10674
707	25791	10637
708	25824	10599
709	25862	10563
710	25894	10525
711	25926	10487
712	25959	10449
713	25989	10410
714	26020	10371
715	26050	10332
716	26079	10293
717	26110	10255
718	26141	10216
719	26171	10177
720	26201	10139
721	26225	10097
722	26250	10057
723	26276	10017
724	26303	9977
725	26326	9935
726	26351	9895
727	26380	9856
728	26409	9817
729	26439	9778
730	26485	9746
731	26520	9709
732	26550	9671
733	26576	9631
734	26609	9593
735	26638	9554
736	26668	9516
737	26701	9479
738	26733	9441
739	26763	9403
740	26798	9366
741	26832	9329
742	26865	9292
743	26900	9256
744	26932	9218
745	26963	9180
746	26997	9143
747	27031	9106
748	27063	9069
749	27096	9032
750	27156	9004
751	27187	8966
752	27219	8928
753	27251	8891
754	27282	8853
755	27314	8815
756	27347	8778
757	27394	8745
758	27435	8711
759	27469	8674
760	27501	8637
761	27530	8598
762	27565	8562
763	27598	8525
764	27629	8487
765	27662	8450
766	27693	8412
767	27727	8375
768	27756	8337
769	27787	8300
770	27816	8261
771	27846	8224
772	27877	8186
773	27910	8149
774	27942	8112
775	27971	8074
776	28006	8037
777	28032	7999
778	28064	7961
779	28097	7924
780	28127	7887
781	28156	7849
782	28187	7811
783	28217	7774
784	28242	7735
785	28269	7696
786	28299	7659
787	28332	7622
788	28365	7585
789	28395	7548
790	28428	7511
791	28457	7473
792	28484	7435
793	28515	7398
794	28547	7361
795	28581	7324
796	28612	7287
797	28639	7249
798	28673	7213
799	28704	7176
800	28739	7139
801	28771	7103
802	28802	7066
803	28832	7028
804	28869	6993
805	28899	6955
806	28929	6918
807	28961	6881
808	28989	6844
809	29024	6808
810	29061	6772
811	29087	6734
812	29111	6696
813	29138	6658
814	29163	6619
815	29188	6581
816	29210	6542
817	29239	6505
818	29266	6468
819	29290	6429
820	29317	6391
821	29341	6353
822	29365	6315
823	29391	6277
824	29415	6239
825	29441	6201
826	29467	6164
827	29490	6126
828	29525	6090
829	29558	6054
830	29583	6016
831	29608	5978
832	29635	5941
833	29662	5904
834	29685	5866
835	29712	5828
